"url","twitterUrl","id","text","retweetCount","replyCount","likeCount","quoteCount","createdAt","bookmarkCount","isRetweet","isQuote"
"https://x.com/nustzim/status/1773581992174522631","https://twitter.com/nustzim/status/1773581992174522631","1773581992174522631","Meet Mellany Msengezi, a NUST Alumnus doing great work in Kenya  and impacting the world in different ways. Mellany is our #FormerStudentFriday feature for the week. Enjoy learning more  how studying at NUST shaped her ambitions. #ChooseNUST #StudyatNUST #thinkinotherterms https://t.co/JAsGhsfpwJ","1","5","10","0","Fri Mar 29 05:24:33 +0000 2024","0","false","false"
"https://x.com/nustzim/status/1772580278759755904","https://twitter.com/nustzim/status/1772580278759755904","1772580278759755904","NUST in the Community, finding solutions to challenges hand in hand with the community. #ChooseUs #studyatNUST #thinkinotherterms","2","1","9","0","Tue Mar 26 11:04:06 +0000 2024","0","false","true"
"https://x.com/nustzim/status/1772579737245757577","https://twitter.com/nustzim/status/1772579737245757577","1772579737245757577","RT @TNHZ_Trust: As part of raising awareness about skin cancer prevention, self screening and distribution of sunscreen lotions our teams a…","4","0","15","1","Tue Mar 26 11:01:56 +0000 2024","0","true","false"
"https://x.com/nustzim/status/1770839285538664841","https://twitter.com/nustzim/status/1770839285538664841","1770839285538664841","NUST staff members were today treated to free medical consultations &amp; check ups as part of #Staffwellnessday organised by the institution's Training and Staff Development Section. At NUST we value our staff and student's health. #YourHealthOurWealth #chooseNust #thinkinotherterms https://t.co/qPo2XIeVLU","0","0","1","0","Thu Mar 21 15:46:00 +0000 2024","0","false","false"
"https://x.com/nustzim/status/1770400870183719014","https://twitter.com/nustzim/status/1770400870183719014","1770400870183719014","Today NUST joined the #GlobalMoneyWeek2024 commemorations in partnership with the following institutions, @ReserveBankZIM @SECZIM @Potraz_zw
@DpcZW who gave a Public lecture under the theme ""#ProtectyourMoney, #SecureyourFuture"" #Thinkinotherterms #ChooseNUST #StudyatNUST https://t.co/zVZ9HeCzCZ","0","0","1","0","Wed Mar 20 10:43:54 +0000 2024","0","false","false"
"https://x.com/nustzim/status/1770106686860107806","https://twitter.com/nustzim/status/1770106686860107806","1770106686860107806","WELCOME TO NUST 🎓! 
Watch NUST Vice-Chancellor, Prof. Mqhele E. Dlodlo's address to the March 2024 intake freshers. #Thinkinotherterms #chooseNUST #studyatNUST

https://t.co/Bt2NZRSAbf","0","0","2","0","Tue Mar 19 15:14:55 +0000 2024","0","false","false"
"https://x.com/nustzim/status/1769673666713862591","https://twitter.com/nustzim/status/1769673666713862591","1769673666713862591","Watch NUST's Pro Vice-Chancelor for Innovation and Business Development (IBD) Dr. Eng. William Goriwondo's Speech at the 2024 Zimbabwe Business Expo held at the Holiday inn in Bulawayo on the 8th of March 2024. 📹credits:Zimbabwe Business Expo media team.

https://t.co/qV7ArI1dIV","2","0","6","0","Mon Mar 18 10:34:15 +0000 2024","0","false","false"
"https://x.com/nustzim/status/1769624824752615448","https://twitter.com/nustzim/status/1769624824752615448","1769624824752615448","Join us this Wednesday the 20th of March at the Delta Lecture Theatre from 1000hrs is the #GlobalMoneyWeek Public Lecture by @ReserveBankZIM @SECZIM @Potraz_zw @DpcZW under the theme ""#ProtectyourMoney, #SecureyourFuture""

 #thinkinotherterms #StudyatNUST #ChooseNUST https://t.co/PhiMPRWIOY","3","0","6","0","Mon Mar 18 07:20:10 +0000 2024","0","false","false"
"https://x.com/nustzim/status/1769370381733773732","https://twitter.com/nustzim/status/1769370381733773732","1769370381733773732","Join us this Wednesday the 20th of March at the Delta Lecture Theatre from 1000hrs is the #GlobalMoneyWeek Public Lecture by @ReserveBankZIM @SECZIM @Potraz_zw @DpcZW under the theme ""#ProtectyourMoney, #SecureyourFuture""

 #thinkinotherterms #StudyatNUST #ChooseNUST https://t.co/GTVQDjkZDN","5","3","9","1","Sun Mar 17 14:29:06 +0000 2024","0","false","false"
"https://x.com/nustzim/status/1772221157825024400","https://twitter.com/nustzim/status/1772221157825024400","1772221157825024400","NUST last week Friday hosted the Deputy Minister of Higher and Tertiary Education, Innovation and Development in Zimbabwe, Hon. Simelisizwe Sibanda, who met the university's top management and toured various ongoing projects at the University #thinkinotherterms #studyatnust https://t.co/hDqI2Io1Mg","0","1","4","0","Mon Mar 25 11:17:04 +0000 2024","0","false","false"
